collection,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
ISPY2,endpoint_full_k8,endpoint_full_k8,556,8.300629055400718,6.82419630653742,10.684862294568564,5.844462217487014,0.8669064748201439,24.847387229843356,29.38568614377693,1.220483999183558,3.5383040441981057,0.050092448516862474
ISPY2,feature_all_k8,feature_all_k8,556,8.038203400015725,6.553374095156387,10.503312918791321,5.646366176852517,0.8741007194244604,24.464732610167303,28.637346474728204,1.1957118572475685,3.5145916662171564,0.05128998583362229
ISPY2,feature_pe_ser_k8,feature_pe_ser_k8,556,8.156955583265088,6.649638660661495,10.513132644424159,5.708832940334262,0.85431654676259,25.147353664429748,29.66899985000241,1.1909950597789825,3.5065878561830215,0.05130081266878584
ISPY2,feature_volume_k8,feature_volume_k8,556,7.894792150035919,6.535663058642873,10.2561006109918,5.5750950550880995,0.8669064748201439,24.19178978361692,27.464387639575623,1.2023152769972127,3.5181885758382374,0.05050664018904626
ISPY2,hybrid_a25_k8,hybrid_a25_k8,556,8.065295456051201,6.563878086268842,10.409595058986273,5.635235090643516,0.85431654676259,24.59288775243282,28.938938013010453,1.2090531411666219,3.5260959921653057,0.050345335433677495
ISPY2,hybrid_a50_bio_k8,Hybrid-bio k=8,556,5.931619212374414,5.1964826846312,8.035829826985648,4.387090797252484,0.8758992805755396,19.42254172946824,22.59299640536309,1.1862235107423282,3.5006272014917257,0.05160110619431824
ISPY2,hybrid_a50_k8,hybrid_a50_k8,556,7.977878750928572,6.583468455787728,10.481196605406641,5.632263060126025,0.8597122302158273,23.923459246025995,28.898808815696995,1.2166366075552717,3.5325744679386255,0.050586654993468504
ISPY2,hybrid_a75_bio_k8,hybrid_a75_bio_k8,556,6.288586338146159,5.3672800704970625,8.298248435990091,4.53351760323421,0.8633093525179856,19.979565533672204,23.320665063211994,1.193912363459805,3.506533464148588,0.05157666497793482
ISPY2,hybrid_a75_k8,hybrid_a75_k8,556,8.103430397444516,6.655701942808568,10.363730142614417,5.707588703615124,0.85431654676259,24.366746009777888,30.237113110083282,1.222849821316636,3.5357839261073782,0.050596920251328406
ISPY2,no_edges,No edges,556,7.097123347638088,5.959532659161882,9.324323033517876,5.105316674028674,0.8741007194244604,22.727023435765737,26.351345707317503,1.2299322987763308,3.5497458025896553,0.05022869320716248
ISPY2,original_graph,Original graph,556,15.98959927329188,11.534263024832194,19.545099539254917,9.065873491223641,0.7715827338129496,57.04581005564515,59.688561800457535,1.3420374372174577,3.715512681420104,0.046270523124828496
ISPY2,radial_bio_k16,radial_bio_k16,556,5.9787457123014365,5.385837607340647,8.312317063096366,4.546928398088689,0.8687050359712231,20.65837936193191,24.041453874960155,1.1975127981777232,3.5182431373425533,0.05061333346522053
ISPY2,radial_bio_k4,radial_bio_k4,556,6.4630743598317615,5.570095175587778,8.696735273065787,4.702077723228694,0.8723021582733813,21.289393089728677,24.437232061809127,1.193608691171847,3.5188813651378377,0.050553795580065834
ISPY2,radial_bio_k8,Radial-bio k=8,556,5.878394652298961,5.1514270459650175,8.053852617012856,4.331689296698163,0.8723021582733813,20.325648703826737,23.56494371752674,1.1956521302851033,3.5120911333199403,0.051249589054500125
ISPY2,radial_geo_k8,radial_geo_k8,556,6.123785765528476,5.403814593965392,8.328219697392166,4.530599140097476,0.8615107913669064,19.656458955149944,23.4483251430125,1.1951233872690885,3.516922245567363,0.050953267029504895
ISPY2,radial_k8,Radial k=8,556,6.830328399165439,5.813650079454071,9.083655638944172,4.942939256609333,0.8507194244604317,21.3336827067249,26.278641780673357,1.189394000358137,3.504811025299328,0.051093138360645184
ISPY2,spatial_k16,spatial_k16,556,8.129446612645623,6.800011842613511,10.775999585131633,5.823125578438763,0.8741007194244604,25.428873746294055,28.87086498070007,1.221651676750553,3.5328607237220875,0.05054032836700162
ISPY2,spatial_k4,spatial_k4,556,8.188722465138202,6.666360554931621,10.494556164896913,5.702325269886599,0.8579136690647482,24.675349646107385,30.35206815570898,1.2293409661530534,3.543714017705788,0.05031349849312686
ISPY2,spatial_k4_bio,spatial_k4_bio,556,6.073600340676796,5.291801240497262,8.25292879481265,4.447900224803518,0.8669064748201439,19.63797234391312,23.187541800123576,1.2058682811187567,3.5215986582963756,0.0504048506491459
