subtype,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice,baseline_mae,mae_reduction_vs_original_ml
HR+/HER2+,hybrid_a75_bio_k8,hybrid_a75_bio_k8,128,5.186737590653981,3.8927303851193527,6.971965482687338,3.227701919693879,0.8984375,19.939075706526058,23.280646858958278,1.2566099856783808,3.4638039040889885,0.05592406515364982,13.658659782122538,8.471922191468558
HR+/HER2+,hybrid_a75_k8,hybrid_a75_k8,128,5.891049620286223,4.035262513384545,8.012227608358366,3.339836837741861,0.8828125,24.460744611519658,30.331831619451453,1.2799545963166374,3.4894371783162534,0.05411287723081895,13.658659782122538,7.7676101618363145
HR+/HER2+,no_edges,No edges,128,5.3396313504146935,3.9205191740220853,7.568216496321701,3.2564360177149756,0.890625,21.999419110545933,25.63625085424853,1.2917224450865779,3.499956414812011,0.053843012791010725,13.658659782122538,8.319028431707844
HR+/HER2+,original_graph,Original graph,128,13.658659782122538,8.328754180032014,16.8004245091996,6.467402161127252,0.7421875,55.99443859047018,58.637187673200316,1.394129224875736,3.658350504593277,0.049938180840301764,13.658659782122538,0.0
HR+/HER2+,radial_bio_k16,radial_bio_k16,128,4.927601768271464,3.9394326438426677,6.857911741053606,3.289347954602618,0.8828125,20.491610583653266,23.875673094009063,1.2528946328370179,3.4727722476041656,0.05424792601379286,13.658659782122538,8.731058013851072
HR+/HER2+,radial_bio_k4,radial_bio_k4,128,5.058419021008311,3.8794419828980615,7.08966243828549,3.207938482282586,0.8828125,20.359145747559815,23.50852980350496,1.2589871747761878,3.4779709952881652,0.05504430057580856,13.658659782122538,8.600240761114225
HR+/HER2+,radial_bio_k8,Radial-bio k=8,128,4.973918193645078,3.8835027141628533,6.904191208686365,3.2343322913796273,0.8984375,19.629674520647242,22.872503787793743,1.2678693777341412,3.476971970275283,0.055061697413117235,13.658659782122538,8.68474158847746
HR+/HER2+,radial_geo_k8,radial_geo_k8,128,4.943485087466532,3.928773266266,6.9062213164334265,3.2233692185883327,0.8828125,18.75561191992387,22.556035819094497,1.2491540240557277,3.4626013527754242,0.054899057626626044,13.658659782122538,8.715174694656007
HR+/HER2+,radial_k8,Radial k=8,128,5.450216794687173,3.97707942778539,7.553947792132535,3.260895742297147,0.90625,21.322938478740177,26.289528782284172,1.2560915557702295,3.4599279175138964,0.05511952246077916,13.658659782122538,8.208442987435365
HR+/HER2+,spatial_k16,spatial_k16,128,6.041961378015901,4.2356301770862395,8.296298506827908,3.464218943272388,0.90625,24.933564349752423,28.378507308401538,1.2993724589976448,3.4927410666236205,0.05405049571186305,13.658659782122538,7.616698404106637
HR+/HER2+,spatial_k4,spatial_k4,128,6.159518437046642,4.171789221563488,8.361003986906997,3.4284705351404057,0.890625,24.313374825262756,29.99711119651648,1.288564835455161,3.494261250807803,0.05346926391314805,13.658659782122538,7.499141345075896
HR+/HER2+,spatial_k4_bio,spatial_k4_bio,128,5.084555594754084,3.915194950847923,6.882038659150124,3.25698319761404,0.8671875,19.624259068528886,23.177141867980062,1.277045821378805,3.4758785408529693,0.0542732815014583,13.658659782122538,8.574104187368453
HR+/HER2-,bio_ftv010_alive000,bio_ftv010_alive000,312,6.952332245848251,5.882219572734348,9.837723337534598,4.974217192243825,0.8782051282051282,24.21386993146465,27.17715368163821,1.2050463363834314,3.4760162067497347,0.05068031693672895,14.791231101059788,7.838898855211537
HR+/HER2-,bio_ftv010_alive002,bio_ftv010_alive002,312,7.225537736552989,5.97617001435794,9.92230101507636,5.0148525261379655,0.8782051282051282,24.60651710923555,28.930413673632547,1.195864141450843,3.4625585582205587,0.05113259584407145,14.791231101059788,7.5656933645067985
HR+/HER2-,bio_ftv020_alive005,Endpoint-calibrated,312,7.277989451915632,5.944528433102773,9.841969935809788,4.98766316973497,0.875,23.97925076828694,27.50269536589848,1.1992680246317318,3.4639592604368206,0.0511694691802793,14.791231101059788,7.513241649144156
HR+/HER2-,endpoint_full_k8,endpoint_full_k8,312,7.335724539110286,5.936706876745144,9.660144929969617,5.025893065498952,0.8653846153846154,23.73890948036462,28.274590008218894,1.1945493576813533,3.4606206497769234,0.051174407682973974,14.791231101059788,7.455506561949502
HR+/HER2-,feature_all_k8,feature_all_k8,312,6.9489601186763315,5.676054198213564,9.582490301125327,4.770558300668939,0.8685897435897436,23.61348859710463,27.787937669158527,1.1712714854315807,3.4419087070958208,0.05143718219538606,14.791231101059788,7.842270982383456
HR+/HER2-,feature_pe_ser_k8,feature_pe_ser_k8,312,7.124991215225209,5.754831910632267,9.57425930060534,4.861812807966281,0.8685897435897436,24.481504952303947,29.003041496755802,1.1698059521389328,3.433456874480639,0.05182325612405536,14.791231101059788,7.666239885834579
HR+/HER2-,feature_volume_k8,feature_volume_k8,312,7.044732704504816,5.70630175286892,9.530964561208075,4.797351999855939,0.8685897435897436,24.478885823031252,27.751238878272517,1.1790117715876416,3.442648526048193,0.05189701226989035,14.791231101059788,7.746498396554972
HR+/HER2-,hybrid_a25_k8,hybrid_a25_k8,312,6.966385751184544,5.685164632659034,9.350711271013719,4.787440799720451,0.8653846153846154,24.280104922826908,28.62619815953497,1.1833922430992505,3.44843082417151,0.0509459206507295,14.791231101059788,7.824845349875244
HR+/HER2-,hybrid_a50_bio_k8,Hybrid-bio k=8,312,5.235347252420384,4.589373591604415,7.365397250519223,3.770381261762433,0.8685897435897436,18.969353751650683,22.1397380852776,1.1681065657867036,3.4295031290340376,0.052483257403585865,14.791231101059788,9.555883848639404
HR+/HER2-,hybrid_a50_k8,hybrid_a50_k8,312,7.055287651357484,5.708304142155526,9.645211031938326,4.8081673004695915,0.8621794871794872,24.370903172196662,29.34637005830492,1.1906200506625635,3.4563666392250547,0.05131603482214022,14.791231101059788,7.735943449702304
HR+/HER2-,hybrid_a75_bio_k8,hybrid_a75_bio_k8,312,5.405419074225104,4.61006783121531,7.445446872065547,3.7709654487735973,0.8621794871794872,19.518302789465668,22.85957223967939,1.1716102921391436,3.4362017157257836,0.05203393955294715,14.791231101059788,9.385812026834685
HR+/HER2-,hybrid_a75_k8,hybrid_a75_k8,312,7.213617872989353,5.7760128640925865,9.572969026411336,4.890514435612133,0.8557692307692307,23.836192565802474,29.70668894995447,1.1983253588518707,3.458354445951397,0.05128249283957103,14.791231101059788,7.577613228070435
HR+/HER2-,no_edges,No edges,312,6.280321086446622,5.118485341036476,8.621233075936455,4.324636811861766,0.8557692307692307,22.90114131374528,26.523445347208746,1.1998667127158047,3.467033536422065,0.051311237734228236,14.791231101059788,8.510910014613167
HR+/HER2-,original_graph,Original graph,312,14.791231101059788,10.220433958437937,18.30905549023429,7.881204991201435,0.7692307692307693,56.49958926835372,59.142355429365345,1.3097662101790435,3.630324485742332,0.047071049609920854,14.791231101059788,0.0
HR+/HER2-,radial_bio_k16,radial_bio_k16,312,5.445212306181732,4.866125443634946,7.819121191110377,4.019379349396464,0.8653846153846154,20.772815137485054,24.156530475071,1.174618329985158,3.4451473233213528,0.051566678363032636,14.791231101059788,9.346018794878056
HR+/HER2-,radial_bio_k4,radial_bio_k4,312,5.592993901106567,4.796396311676228,7.863212150854631,3.9300618837426304,0.875,21.198677302285894,24.346158996232592,1.168736386451195,3.4386145747297756,0.05158772588575421,14.791231101059788,9.19823719995322
HR+/HER2-,radial_bio_k8,Radial-bio k=8,312,5.205515182488862,4.538898767454408,7.484350491854888,3.731942533969508,0.8653846153846154,20.10381348431649,23.34124427641834,1.1676653125495342,3.4356651958416378,0.05181434674517601,14.791231101059788,9.585715918570926
HR+/HER2-,radial_geo_k8,radial_geo_k8,312,5.346270010298167,4.64365211237269,7.57066173921032,3.7774426493353483,0.8525641025641025,19.821093235810746,23.61008390478127,1.1725406072070599,3.4426417007770715,0.05127856513841255,14.791231101059788,9.44496109076162
HR+/HER2-,radial_k8,Radial k=8,312,5.708675556838084,4.821084578068773,8.141528786181059,3.9816933765855707,0.8525641025641025,20.862783437419175,25.814122842565364,1.1673355913077834,3.4326357894916546,0.05187619988209118,14.791231101059788,9.082555544221705
