model_tag,model_label,bucket,conditioning_context,start_visit,predicted_visit,n_rows,n_patients,obs_ftv_ml_mean,det_ftv_ml_mean,det_ftv_bias_ml_mean,det_ftv_bias_ml_se,det_ftv_mae_ml_mean,det_ftv_mae_ml_se,mc_mean_ftv_ml_mean,mc_mean_ftv_bias_ml_mean,mc_mean_ftv_bias_ml_se,mc_mean_ftv_mae_ml_mean,mc_mean_ftv_mae_ml_se,mc_median_ftv_ml_mean,mc_median_ftv_bias_ml_mean,mc_median_ftv_bias_ml_se,mc_median_ftv_mae_ml_mean,mc_median_ftv_mae_ml_se,coverage90_ftv_raw_mean,coverage90_ftv_conformal_mean,ftv_raw_width90_ml_mean,ftv_conformal_width90_ml_mean,crps_ftv_mean,near_zero_ftv_prob_mean,alive_det_abs_err_mean,alive_count_abs_err_mc_mean_mean,swd_mm_mc_mean_mean,chamfer_mm_mc_mean_mean,dice_mc_mean_mean,high_t3_obs_ftv_p90_threshold_ml,high_t3_n_patients,high_t3_obs_ftv_ml_mean,high_t3_det_ftv_mae_ml_mean,high_t3_mc_mean_ftv_mae_ml_mean,high_t3_mc_median_ftv_mae_ml_mean,subgroup_type,subgroup_value
bio_ftv010_alive000,FTV-only ablation,T0->T3,T0->T3,T0,T3,57,57,33.4003134257203,28.17793459539154,-5.222378830328759,4.0608671102535645,9.030840030552055,3.939708798769805,30.946363102423255,-2.453950323297047,4.097646483237674,10.723880397296565,3.852874244135178,28.270694617641542,-5.129618808078761,4.057496080483514,9.198003937762216,3.9271333635656243,0.8596491228070176,0.9122807017543859,25.61904397094756,28.585701535562986,8.211698647666728,0.05290570175438596,8.09368731159913,5.941954495614035,1.1575112518473032,3.532586556402595,0.0511168979795397,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive000,FTV-only ablation,T0->T3,T0->T3,T0,T3,261,261,27.412081542207194,25.322404794636004,-2.089676747571189,1.1038878011504192,6.486894058417976,1.0361071865802918,27.92663415564599,0.514552613438797,1.107412198712054,7.777678101699917,0.9973552526190369,25.443329372154555,-1.9687521700526414,1.0961152495103714,6.522620646894676,1.026032784485538,0.8697318007662835,0.9003831417624522,23.624059015333547,26.588492740071942,5.597854790030958,0.055360991379310345,9.250374618161228,6.560704022988506,1.1962234801738192,3.5116408001970703,0.04994154721510921,,0,,,,,subtype,TNBC
bio_ftv010_alive000,FTV-only ablation,T1->T2,"T0,T1->T2",T1,T2,128,128,18.98369426758927,17.929338070431182,-1.0543561971580886,0.8885034263287581,4.537493921441417,0.797542904359228,22.402997637172525,3.4193033695832575,0.8935689749163863,5.920572496560516,0.7839109351462691,20.434868211551475,1.451173943962205,0.8855015826584917,4.648189880594179,0.7940853916214381,0.8828125,0.921875,22.727295273212384,27.727538723953607,3.885880493282552,0.051055908203125,10.005742748238845,8.098297119140625,1.5042900728899253,3.9729045500950946,0.04344875177377701,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive000,FTV-only ablation,T1->T2,"T0,T1->T2",T1,T2,312,312,24.426798369557684,21.974955689222963,-2.4518426803347215,0.6439798424346503,4.869786582164516,0.5981523879220815,26.481899647805513,2.0551012782478266,0.6220369070526021,5.875103809952858,0.5380738532662532,24.5884561989404,0.161657829382714,0.6158002314432915,4.822569932255008,0.5518260805034325,0.8782051282051282,0.9166666666666666,22.409173052043492,27.406766818980778,4.029782029108625,0.040427183493589744,6.707328426078535,4.6237855568910255,1.7237252241745489,4.221749720342211,0.039699488596041256,,0,,,,,subtype,HR+/HER2-
bio_ftv010_alive000,FTV-only ablation,T1->T2,"T0,T1->T2",T1,T2,57,57,31.34302002757128,27.28068987602539,-4.062330151545892,2.540739967632229,7.823683802111573,2.378447252634695,31.799654537639082,0.45663451006780525,2.4859451922384252,8.335993382444444,2.2232354372833303,29.997120018275297,-1.3459000092959843,2.4681506215068776,7.578638379783059,2.257980555592961,0.8245614035087719,0.8596491228070176,22.751495273340964,27.720081975477225,6.60730091844782,0.037623355263157895,10.727657714433837,9.241296600877194,1.593940186419431,4.250350671336952,0.03583696343099555,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive000,FTV-only ablation,T1->T2,"T0,T1->T2",T1,T2,261,261,26.517871161909653,24.782700668996664,-1.7351704929129907,0.6767746534178156,5.053226384562245,0.6094194650463828,29.43512213806349,2.9172509761538348,0.66113864675454,6.508062587240146,0.5540153957832481,27.527521874219136,1.0096507123094831,0.6540722827182225,5.316785748194116,0.5683374103941785,0.842911877394636,0.8812260536398467,22.853284531081034,27.832848265697265,4.4231211160371355,0.03633860153256705,8.546670584029508,6.446180555555555,1.603101946426746,4.166843205615801,0.03842145782060219,,0,,,,,subtype,TNBC
bio_ftv010_alive000,FTV-only ablation,T1->T3,"T0,T1->T3",T1,T3,128,128,18.06031673771804,18.736980748489902,0.6766640107718598,0.8383262100864037,4.134639086936922,0.7561666159562384,22.790524007343723,4.730207269625683,0.8386738642887908,6.427738648707422,0.7444678684517535,20.249670658022325,2.189353920304285,0.8420860071219631,4.540151306371673,0.764554936224728,0.84375,0.9140625,24.693994286794418,30.904268220019944,3.8576561968715213,0.0592041015625,13.198867382016033,10.670379638671875,1.7197591358720468,4.188709686927272,0.03919678073527729,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive000,FTV-only ablation,T1->T3,"T0,T1->T3",T1,T3,312,312,24.151545263727037,22.15690054089451,-1.994644722832526,0.6909232578124728,5.452808715067167,0.6281425012231129,26.275899176745778,2.124353913018738,0.6783943088778431,6.755923490996194,0.5726859940177484,23.742699354585284,-0.4088459091417524,0.6714735585094437,5.492909491104579,0.5953133314539271,0.8557692307692307,0.9038461538461539,24.75112876771947,30.959643697342692,4.572675258076044,0.04787660256410257,8.55247398523184,5.927458934294871,1.8257218291462916,4.3407001358918915,0.03761548224591898,,0,,,,,subtype,HR+/HER2-
bio_ftv010_alive000,FTV-only ablation,T1->T3,"T0,T1->T3",T1,T3,57,57,33.4003134257203,27.295768927932713,-6.104544497787588,3.6895542081725567,8.593629773728184,3.599931460458695,31.239349672509633,-2.160963753210665,3.6361132333049784,10.368596521163662,3.374155607246892,28.921188416100485,-4.479125009619819,3.610158472912903,8.984773776024483,3.4568722346631873,0.8421052631578947,0.9122807017543859,23.697655036726715,29.907622188106227,7.928758558541744,0.04084429824561404,7.03183797158693,4.906592653508772,1.5879117052267755,4.254396078080848,0.03579747408404302,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive000,FTV-only ablation,T1->T3,"T0,T1->T3",T1,T3,261,261,27.412081542207194,24.850257968251313,-2.5618235739558806,0.9111891594290442,5.881059803237603,0.8499890350484643,29.012162896425732,1.6000813542185393,0.8835137060664939,7.330135288322647,0.7640591471388852,26.533576941935824,-0.8785046002713695,0.8773157194390949,6.021737340228367,0.7957289748001294,0.8620689655172413,0.8888888888888888,25.13908167162983,31.345021328005238,5.06898392472274,0.040529214559386975,9.197960291557385,6.505013769157088,1.6247781651426756,4.249310387981684,0.03584583354201417,,0,,,,,subtype,TNBC
