model,model_label,conditioning,predicted_visit,n_patients,ftv_abs_err_ml_det_mean,ftv_abs_err_ml_mc_mean_mean,crps_ftv_mean,ftv_raw_width90_ml_mean,coverage90_ftv_raw_mean,ftv_conformal_width90_ml_mean,coverage90_ftv_conformal_mean,pred_ftv_det_ml_mean,obs_ftv_ml_mean,ftv_mc_mean_ml_mean,bias_det_ml_mean,bias_mc_mean_ml_mean
radial_bio_k8,Radial-biologic k=8,teacher_forced,T1,11,8.716054041548208,8.043089042318568,7.240973269411083,14.40173634846414,0.7272727272727273,14.945520114879711,0.8181818181818182,20.609328258308494,25.974476066502657,22.083672989532896,-5.36514780819416,-3.890803076969763
hybrid_a50_bio_k8,Hybrid-Edge k=8,teacher_forced,T1,11,29.11074922951785,29.598614755406572,27.777485421063616,15.13738640519092,0.4545454545454545,17.694487196655977,0.4545454545454545,53.11065543348139,25.974476066502657,55.085401556932794,27.13617936697873,29.110925490430144
bio_ftv020_alive005,Endpoint+Active,teacher_forced,T2,11,41.53735331405292,44.49132724020348,41.31426422276509,19.916288454833545,0.3636363636363636,24.124235581556935,0.4545454545454545,59.63703242215243,19.44776620648124,63.93909344668472,40.18926621567119,44.49132724020348
no_edges,No-edge endpoint,teacher_forced,T2,11,33.64904290546071,36.843868902051696,33.596139815596366,19.71769464250528,0.3636363636363636,23.43237934726761,0.4545454545454545,52.0616251446984,19.44776620648124,56.29163510853294,32.61385893821716,36.843868902051696
radial_bio_k8,Radial-biologic k=8,teacher_forced,T2,11,36.28244793848558,37.99661512488442,35.492048507634564,18.045309874954885,0.3636363636363636,20.457367455193715,0.4545454545454545,55.230691784078424,19.44776620648124,57.44438133136566,35.78292557759718,37.99661512488442
hybrid_a50_bio_k8,Hybrid-Edge k=8,teacher_forced,T2,11,29.611679116162385,31.869838184390655,28.937506927993105,17.999168874634663,0.3636363636363636,20.59587335349386,0.3636363636363636,48.9970842188055,19.44776620648124,51.3176043908719,29.54931801232425,31.869838184390655
bio_ftv020_alive005,Endpoint+Active,teacher_forced,T3,11,75.04740749489177,77.84961251251292,74.65074539675199,19.584927531338703,0.2727272727272727,22.37094644033393,0.2727272727272727,93.728233870593,19.69299282810905,97.32509346024362,74.03524104248393,77.63210063213457
no_edges,No-edge endpoint,teacher_forced,T3,11,49.03246958255768,51.16530606997999,48.27982996184701,18.969960954735964,0.2727272727272727,20.85526236009831,0.3636363636363636,67.70772096894005,19.69299282810905,70.49480000530485,48.014728140831,50.80180717719581
radial_bio_k8,Radial-biologic k=8,teacher_forced,T3,11,38.33534491062164,40.641966597800014,37.74221987992825,17.756230404369454,0.3636363636363636,20.8794592142506,0.3636363636363636,57.13787615082481,19.69299282810905,60.082761930495465,37.44488332271576,40.38976910238643
hybrid_a50_bio_k8,Hybrid-Edge k=8,teacher_forced,T3,11,36.13144420927221,39.83144711862911,36.49582369316292,19.54403437143901,0.3636363636363636,23.891103324512745,0.5454545454545454,55.092649975689966,19.69299282810905,59.52443994673815,35.399657147580925,39.83144711862911
